-100	0	0
-100	0	0
-100	0	0
-100	0	0
-100	0	0
-100	0	0
-100	0	0
-100	0	0
-100	0	0
-100	0	0
-100	0	0
-100	0	0
-100	0	0
-100	0	0
-100	0	0
-100	0	0
-100	0	0
-100	0	0
-100	0	0
-100	0	0
-100	0	0
-100	0	0
-100	0	0
-100	0	0
-100	0	0
-100	0	0
-100	0	0
-100	0	0
-100	0	0
-100	0	0
-100	0	0
-100	0	0
-7.07	0.97	0.59
-4.65	0.97	0.7
-6.1	0.96	0.66
-10.59	0.95	0.57
-12.96	0.91	0.35
-9.47	0.94	0.57
-7.16	0.95	0.78
-7.37	0.96	0.75
-10.73	0.96	0.61
-19.29	0.95	0.33
-21.52	0.95	0.41
-19	0.92	0.29
-17.56	0.92	0.32
-11.02	0.96	0.4
-8.66	0.96	0.68
-9.64	0.96	0.43
-13	0.98	0.57
-11.96	0.98	0.59
-9.89	0.97	0.63
-9.15	0.96	0.67
-9.96	0.96	0.63
-11.85	0.96	0.64
-15.2	0.97	0.48
-17.62	0.98	0.65
-19.9	0.99	0.6
-23.78	0.97	0.48
-29.47	0.8	0.3
-31.16	0.72	0.28
-33.5	0.77	0.34
-32.43	0.75	0.29
-31.09	0.77	0.19
-15.29	0.96	0.35
-9.93	0.96	0.55
-9.48	0.97	0.69
-12.95	0.97	0.43
-20.22	0.96	0.44
-28.65	0.96	0.27
-25.85	0.93	0.36
-23.5	0.92	0.38
-18.12	0.96	0.15
-10.78	0.97	0.5
-8.71	0.96	0.39
-9.84	0.96	0.51
-12.33	0.97	0.6
-13.75	0.98	0.69
-14.56	0.98	0.67
-15.55	0.98	0.67
-16.31	0.98	0.65
-15.48	0.98	0.66
-12.96	0.96	0.37
-10.31	0.95	0.38
-11.11	0.94	0.38
-14.02	0.94	0.25
-20.08	0.94	0.34
-26.24	0.93	0.3
-30.64	0.95	0.32
-32.97	0.95	0.52
-32.98	0.86	0.32
-23.79	0.95	0.15
-13.09	0.97	0.41
-9.6	0.97	0.6
-8.27	0.97	0.64
-10.34	0.97	0.43
-15.57	0.94	0.36
-25.8	0.9	0.19
-25.77	0.88	0.18
-22.67	0.86	0.32
-21.84	0.88	0.28
-22.17	0.87	0.15
-22.71	0.87	0.22
-22.76	0.82	0.19
